,COUNTRY,YEAR,GDP,OLD,OBESITY,DOC,PRICE,HCE
Australia_2010,Australia,2010,41177,13.6,24.96,3.5,129,8.4
Australia_2011,Australia,2011,43420,13.8,25.35,3.5,129,8.5
Australia_2012,Australia,2012,43205,14.1,25.74,3.5,129,8.7
Australia_2013,Australia,2013,46818,14.4,26.14,3.6,129,8.8
Australia_2014,Australia,2014,47250,14.7,26.55,3.6,129,9.8
Australia_2015,Australia,2015,46638,14.9,26.98,3.7,129,10.2
Australia_2016,Australia,2016,48353,15.2,27.42,3.8,129,10.1
Australia_2017,Australia,2017,49543,15.4,27.88,3.9,129,10.1
Australia_2018,Australia,2018,51612,15.6,28.34,3.9,129,10.1
Australia_2019,Australia,2019,53918,15.9,28.8,4,129,10.2
Australia_2020,Australia,2020,53944,16.3,29.27,4.1,122,10.7
Australia_2021,Australia,2021,60586,16.8,29.75,4.2,133,10.6
Australia_2022,Australia,2022,69285,17.1,30.24,4.3,131,9.6
Austria_2010,Austria,2010,42014,17.7,14.02,4.8,99,10.2
Austria_2011,Austria,2011,44469,17.7,14.1,4.8,99,10
Austria_2012,Austria,2012,46478,17.9,14.17,4.9,99,10.2
Austria_2013,Austria,2013,47937,18.2,14.23,5,99,10.3
Austria_2014,Austria,2014,48814,18.4,14.31,5.1,99,10.4
Austria_2015,Austria,2015,49942,18.5,14.4,5.1,99,10.4
Austria_2016,Austria,2016,52665,18.5,14.52,5.1,99,10.4
Austria_2017,Austria,2017,54188,18.6,14.64,5.2,99,10.4
Austria_2018,Austria,2018,56956,18.8,14.77,5.2,99,10.3
Austria_2019,Austria,2019,60590,18.9,14.9,5.3,99,10.5
Austria_2020,Austria,2020,58611,19.2,15.04,5.4,101,11.4
Austria_2021,Austria,2021,63451,19.4,15.2,5.4,101,12.1
Austria_2022,Austria,2022,70889,19.5,15.37,5.5,94,11.4
Belgium_2010,Belgium,2010,39834,17.2,17.47,2.9,84,10.2
Belgium_2011,Belgium,2011,40942,17.3,17.65,2.9,84,10.4
Belgium_2012,Belgium,2012,42291,17.5,17.82,2.9,84,10.5
Belgium_2013,Belgium,2013,43671,17.8,17.99,3.7,84,10.6
Belgium_2014,Belgium,2014,44930,18,18.17,3.8,84,10.6
Belgium_2015,Belgium,2015,46202,18.2,18.36,3.8,84,10.8
Belgium_2016,Belgium,2016,48598,18.4,18.57,3.9,84,10.8
